title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"com.elevenbitstudios.SleepwalkersJourneyHD.humble","com.elevenbitstudios.SleepwalkersJourneyHD.humble","humblebundle","game","videogame","Sleepwalker's Journey","Sleepwalker's Journey","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.enchantedcode.flow","com.enchantedcode.flow","com.android.vending","non-game","non-game software","Flow","Flow","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.endomondo.android.pro","com.endomondo.android.pro","com.amazon.venezia","non-game","non-game software","Endomondo PRO","Endomondo PRO","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.eneko.puddle","com.eneko.puddle","humblebundle","game","videogame","Puddle","Puddle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.ENKSoft.QaisQuest","com.ENKSoft.QaisQuest","com.amazon.venezia","game","videogame","Qais Quest Trial","Qais Quest Trial","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.ensenasoft.ultimatehngmhd","com.ensenasoft.ultimatehngmhd","com.amazon.venezia","game","videogame","Ultimate Hangman HD","Ultimate Hangman HD","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.entwicklerx.dodgetheseballsfree","com.entwicklerx.dodgetheseballsfree","com.android.vending","game","videogame","Dodge These Balls","Dodge These Balls","EntwicklerX","3","Utilisation minimaliste du gyroscope interne. Règle simplissime, graphisme correct, jouabilité correcte, frustrant mais avec un goût de reviens-y… Par contre, pas de quoi y passer la nuit, ni y jouer tous les jours.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.entwicklerx.shuffleboard","com.entwicklerx.shuffleboard","com.android.vending","game","videogame","Shuffle Board","Shuffle Board","EntwicklerX","1","Needs to be improved. The background image doesn't fit the TFP screen! A multiplayer mode would be cool.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.epoint.android.games.mjfgbfree","com.epoint.android.games.mjfgbfree","com.android.vending","game","videogame","Mahjong and Friends Free","Mahjong and Friends Free","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.equazi.unolingo","com.equazi.unolingo","com.amazon.venezia","game","videogame","Unolingo","Unolingo","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.estrongs.android.pop","com.estrongs.android.pop","com.android.vending","non-game","non-game software","—","ES File Explorer","EStrongs Inc.","2","Correct mais gère mal les « merges ». Or je n'ai pas actuellement besoin de ses fonctionnalités avancées.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.estrongs.android.taskmanager","com.estrongs.android.taskmanager","com.android.vending","non-game","non-game software" "task manager","ES Task Manager","ES Task Manager","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.etermax.preguntados.pro","com.etermax.preguntados.pro","com.amazon.venezia","game","videogame","Trivia Crack","Trivia Crack","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.evernote","com.evernote","com.android.vending","non-game","non-game software","Evernote","Evernote","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.evilduck.musiciankit","com.evilduck.musiciankit","com.android.vending","non-game","non-game software" "music" "training","Perfect Ear 2","Perfect Ear 2","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exideas.cp.words.dutch","com.exideas.cp.words.dutch","com.android.vending","non-game","non-game software","Dutch MessagEase Wordlist","Dutch MessagEase Wordlist","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exideas.cp.words.english","com.exideas.cp.words.english","com.android.vending","non-game","non-game software" "keyboard" "extension" "wordlist" "english","English MessagEase Wordlist","English MessagEase Wordlist","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exideas.cp.words.french","com.exideas.cp.words.french","com.android.vending","non-game","non-game software" "keyboard" "extension" "wordlist" "french","French MessagEase Wordlist","French MessagEase Wordlist","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exideas.megame","com.exideas.megame","com.android.vending","non-game","non-game software","MessagEase Game","MessagEase Game","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exideas.mekb","com.exideas.mekb","com.android.vending","non-game","non-game software" "keyboard","MessagEase Keyboard","MessagEase Keyboard","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exozet.android.catan","com.exozet.android.catan","humblebundle","game","videogame" "boardgame conversion","Catan","Catan","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.exozet.game.carcassonne","com.exozet.game.carcassonne","humblebundle","game","videogame" "boardgame conversion","Carcassonne","Carcassonne","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.expb.envirobearhumble","com.expb.envirobearhumble","humblebundle","game","videogame" "racing","Enviro-Bear 2010","Enviro-Bear 2010","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.faceroll.dev.inu","com.faceroll.dev.inu","com.android.vending","game","videogame","Galaxy Factions","Galaxy Factions","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fallentreegames.amazon.noon","com.fallentreegames.amazon.noon","com.amazon.venezia","game","videogame",".NOON.",".NOON.","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fallentreegames.amazon.quellmemento","com.fallentreegames.amazon.quellmemento","com.amazon.venezia","game","videogame","Quell Memento","Quell Memento","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fallentreegames.quellfree","com.fallentreegames.quellfree","com.android.vending","game","videogame" "puzzle","Quell","Quell","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.familyroomgames.piratesvsninjas","com.familyroomgames.piratesvsninjas","com.android.vending","game","videogame","Pirates/Ninjas","Pirates/Ninjas","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.farproc.wifi.analyzer","com.farproc.wifi.analyzer","com.android.vending","non-game","non-game software" "network" "analyser","Wifi Analyzer","Wifi Analyzer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.farsight.AndroidPinball.javaProject","com.farsight.AndroidPinball.javaProject","com.android.vending","game","videogame","Pinball Arcade","Pinball Arcade","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fdgentertainment.paperama","com.fdgentertainment.paperama","com.android.vending","game","videogame" "puzzle","Paperama","Paperama","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.FDGEntertainment.TentacleWars.Humble","com.FDGEntertainment.TentacleWars.Humble","humblebundle","game","videogame","Tentacle Wars","Tentacle Wars","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.feelingtouch.newslash2","com.feelingtouch.newslash2","com.android.vending","game","videogame","Slice Summer","Slice Summer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.festalize.martianchess","com.festalize.martianchess","com.android.vending","game","videogame" "boardgame conversion","MartianChess","MartianChess","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.ffreedomfree.oware","com.ffreedomfree.oware","com.android.vending","game","videogame","Mancala Four Pack Free","Mancala Four Pack Free","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fheft.graviturnex.free","com.fheft.graviturnex.free","com.android.vending","game","videogame","Graviturn Extended","Graviturn Extended","Team Graviturn","1","Ne fonctionne pas sur l'Asus Transformer Prime","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fiberthemax.OpQ2keyboard","com.fiberthemax.OpQ2keyboard","com.android.vending","non-game","non-game software","dodol Keyboard","dodol Keyboard","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"com.fiistudio.fiinote","com.fiistudio.fiinote","com.android.vending","non-game","non-game software","FiiNote","FiiNote","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
