title,pkg.filename,pkg.source,app.type,tags,app.title.full,app.title.short,app.credits,review.rating,text,review.status,pkg.version,review.summary,test.hw.model,test.hw.type,test.os.family,test.os.version
"non-game software"§"com.appszoom.appszoomtp","com.appszoom.appszoomtp","com.android.vending","non-game",£,"AppsZoom Today's Pick","AppsZoom Today's Pick","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "highlight all" "puzlle"§"com.appxplore.sporos","com.appxplore.sporos","com.android.vending","game",£,"Sporos","Sporos","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.appxy.tinyscan","com.appxy.tinyscan","com.amazon.venezia","non-game",£,"TinyScan Pro","TinyScan Pro","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"—"§"com.aquiris.wrathofpsychobos1","com.aquiris.wrathofpsychobos1","game","videogame",£,"Ben 10: Wrath of Psychobos","Ben 10: Wrath of Psychobos","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "marble maze"§"com.arbstudios.bioballfree","com.arbstudios.bioballfree","com.android.vending","game",£,"com.arbstudios.bioballfree","com.arbstudios.bioballfree","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.arbstudios.tikikartfree","com.arbstudios.tikikartfree","com.android.vending","game",£,"com.arbstudios.tikikartfree","com.arbstudios.tikikartfree","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.archison.randomadventureandroid","com.archison.randomadventureandroid","com.android.vending","game",£,"Random Adventure Android","Random Adventure Android","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.argosy.vbandroid","com.argosy.vbandroid","com.amazon.venezia","non-game",£,"Atlas","Atlas","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "strategy" "risk-like"§"com.artemlatotin.battleforhexagon","com.artemlatotin.battleforhexagon","com.android.vending","game",£,"Battle for Hexagon","Battle for Hexagon","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.artfactory.vsmode","com.artfactory.vsmode","com.android.vending","game",£,"VS MODE - Block Pang","VS MODE - Block Pang","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software" "document viewer" "pdf"§"com.artifex.mupdfdemo","com.artifex.mupdfdemo","com.android.vending","non-game",£,"MuPDF","MuPDF","—","3","Lecteur PDF léger. Sans fioriture.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.artifexmundi.clockwork.amzn.full","com.artifexmundi.clockwork.amzn.full","com.amazon.venezia","game",£,"Clockwork Tales (Full)","Clockwork Tales (Full)","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.artofbytes.gravedefence.hd.free","com.artofbytes.gravedefence.hd.free","com.android.vending","game",£,"GRave Defense HD Free","GRave Defense HD Free","ArtOfBytess","1","HD Tower Defense, no more, no lezz.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.asrazpaid","com.asrazpaid","com.amazon.venezia","non-game",£,"AndroZip Pro","AndroZip Pro","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "boardgame conversion"§"com.astraware.mijnlieff","com.astraware.mijnlieff","com.android.vending","game",£,"Mijnlieff","Mijnlieff","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.asus.supernotepro","com.asus.supernotepro","com.android.vending","non-game",£,"SuperNote Pro","SuperNote Pro","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.asus.webstorage.id","com.asus.webstorage.id","com.android.vending","non-game",£,"MyCloud","MyCloud","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "boardgame conversion" "domination"§"com.AtaxxDomination.Free","com.AtaxxDomination.Free","com.android.vending","game",£,"Ataxx Domination","Ataxx Domination","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.atteo.langleo_trial","com.atteo.langleo_trial","com.android.vending","non-game",£,"Langleo","Langleo","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "cardgame"§"com.aurum.google.aliceOfHeart","com.aurum.google.aliceOfHeart","com.android.vending","game",£,"Alice of Hearts","Alice of Hearts","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.aurum.google.cabals","com.aurum.google.cabals","com.android.vending","game",£,"Cabals","Cabals","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.avast.android.mobilesecurity","com.avast.android.mobilesecurity","com.android.vending","non-game",£,"avast! Mobile Security","avast! Mobile Security","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software" "security" "pest-control" "antivirus"§"com.avira.android","com.avira.android","com.android.vending","non-game",£,"Avira","Avira","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.babycenter.mybabytoday","com.babycenter.mybabytoday","com.android.vending","non-game",£,"BabyCenter® My Baby Today","BabyCenter® My Baby Today","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.baraworks.baduk","com.baraworks.baduk","com.android.vending","game",£,"Go (Baduk) School","Go (Baduk) School","More Games","2","Didacticiel dont on a vite fait le tour. De facture correcte mais plutôt limité.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "boardgame conversion" "cardgame"§"com.Bauernschnapsen","com.Bauernschnapsen","com.android.vending","game",£,"Bauern schnapsen","Bauern schnapsen","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.bbb.btr","com.bbb.btr","com.android.vending","game",£,"Burn the Rope","Burn the Rope","Big Blue Bubble","1","Original et sympa mais peu pratique sur TFP. Le principe de ce jeu est original. Sa réalisation est bonne. Malheureusement, sa jouabilité sur une tablette est faible. Il est en effet peu pratique de la tourner et retourner sans cesse. Doit probablement être nettement plus agréable à jouer sur un smartphone.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.bdc.nh.hd.humble","com.bdc.nh.hd.humble","humblebundle","game",£,"NHex HD Humble Bundle","NHex HD Humble Bundle","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "boardgame conversion"§"com.bdc.nh_lite","com.bdc.nh_lite","com.android.vending","game",£,"NHex Lite","NHex Lite","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.beansprites.hiddenobjectslostworlds","com.beansprites.hiddenobjectslostworlds","com.amazon.venezia","game",£,"Hidden Objects Lost Worlds","Hidden Objects Lost Worlds","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.beardedEye.baamsAway","com.beardedEye.baamsAway","com.android.vending","game",£,"Baams Away","Baams Away","Bearded Eye","2","Point'n'shoot arcade with exploding sheeps. Cute but not for me.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.bedtime.backtobed","com.bedtime.backtobed","com.amazon.venezia","game",£,"Back to Bed","Back to Bed","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.beholder.offlinemaps","com.beholder.offlinemaps","com.android.vending","non-game",£,"Offline Maps","Offline Maps","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.bestappsmarket.android.bestapps","com.bestappsmarket.android.bestapps","com.android.vending","non-game",£,"BAM","BAM","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame" "puzzle"§"com.bigduckgames.flow","com.bigduckgames.flow","com.android.vending","game",£,"Flow Free","Flow Free","Big Duck Games LLC","3","Casse-tête simple et bien réalisé. Objectif : relier les paires de plots de couleurs. Difficulté augmentant très progressivement.","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"videogame"§"com.bigfishgames.blackwidowamznfull","com.bigfishgames.blackwidowamznfull","com.amazon.venezia","game",£,"Black Widow","Black Widow","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.binaryguilt.completeeartrainer","com.binaryguilt.completeeartrainer","com.android.vending","non-game",£,"Complete Ear Trainer","Complete Ear Trainer","—","—","—","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
"non-game software"§"com.BipolarDesign.EchoplexDrumSim","com.BipolarDesign.EchoplexDrumSim","com.android.vending","non-game",£,"Echoplex Drum Simulator","Echoplex Drum Simulator","BipolarDesign","2","Simplistic but fun. Two channel toy beatbox","juste importé","—","—","Asus Transformer Prime TF201","tablette","android","4.1.1"
